:::MLLOG {"namespace": "", "time_ms": 1633467237206, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 347}}
:::MLLOG {"namespace": "", "time_ms": 1633467243833, "event_type": "POINT_IN_TIME", "key": "submission_benchmark", "value": "oc20", "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 348}}
:::MLLOG {"namespace": "", "time_ms": 1633467243833, "event_type": "POINT_IN_TIME", "key": "submission_org", "value": "CSCS", "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 349}}
:::MLLOG {"namespace": "", "time_ms": 1633467243834, "event_type": "POINT_IN_TIME", "key": "submission_division", "value": "closed", "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 350}}
:::MLLOG {"namespace": "", "time_ms": 1633467243834, "event_type": "POINT_IN_TIME", "key": "submission_status", "value": "onprem", "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 351}}
:::MLLOG {"namespace": "", "time_ms": 1633467243834, "event_type": "POINT_IN_TIME", "key": "submission_platform", "value": "SUBMISSION_PLATFORM_PLACEHOLDER", "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 352}}
:::MLLOG {"namespace": "", "time_ms": 1633467243835, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 355}}
:::MLLOG {"namespace": "", "time_ms": 1633467243835, "event_type": "POINT_IN_TIME", "key": "number_of_ranks", "value": 256, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 362}}
:::MLLOG {"namespace": "", "time_ms": 1633467243836, "event_type": "POINT_IN_TIME", "key": "number_of_nodes", "value": 256, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 363}}
:::MLLOG {"namespace": "", "time_ms": 1633467243837, "event_type": "POINT_IN_TIME", "key": "accelerators_per_node", "value": 1, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 364}}
:::MLLOG {"namespace": "", "time_ms": 1633467243837, "event_type": "POINT_IN_TIME", "key": "seed", "value": 1, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 367}}
:::MLLOG {"namespace": "", "time_ms": 1633467243838, "event_type": "POINT_IN_TIME", "key": "global_batch_size", "value": 1024, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 368}}
:::MLLOG {"namespace": "", "time_ms": 1633467243838, "event_type": "POINT_IN_TIME", "key": "train_samples", "value": 2000000, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 370}}
:::MLLOG {"namespace": "", "time_ms": 1633467243839, "event_type": "POINT_IN_TIME", "key": "eval_samples", "value": 999866, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 371}}
:::MLLOG {"namespace": "", "time_ms": 1633467243840, "event_type": "POINT_IN_TIME", "key": "opt_name", "value": "AdamW", "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 372}}
:::MLLOG {"namespace": "", "time_ms": 1633467243840, "event_type": "POINT_IN_TIME", "key": "opt_base_learning_rate", "value": 0.0012, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 373}}
:::MLLOG {"namespace": "", "time_ms": 1633467243841, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_warmup_steps", "value": 7816, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 374}}
:::MLLOG {"namespace": "", "time_ms": 1633467243841, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_warmup_factor", "value": 0.2, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 375}}
:::MLLOG {"namespace": "", "time_ms": 1633467243842, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_decay_boundary_steps", "value": [31264, 46896, 62528], "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 376}}
:::MLLOG {"namespace": "", "time_ms": 1633467243842, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_decay_factor", "value": 0.1, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 377}}
:::MLLOG {"namespace": "", "time_ms": 1633467243843, "event_type": "INTERVAL_END", "key": "init_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 380}}
:::MLLOG {"namespace": "", "time_ms": 1633467243843, "event_type": "INTERVAL_START", "key": "run_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 381}}
:::MLLOG {"namespace": "", "time_ms": 1633467243844, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 404, "epoch_num": 1}}
:::MLLOG {"namespace": "", "time_ms": 1633468654219, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 472, "epoch_num": 1}}
:::MLLOG {"namespace": "", "time_ms": 1633468924324, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 482, "epoch_num": 1}}
:::MLLOG {"namespace": "", "time_ms": 1633468926236, "event_type": "POINT_IN_TIME", "key": "eval_error", "value": 0.06423713478696398, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 484, "epoch_num": 1}}
:::MLLOG {"namespace": "", "time_ms": 1633468927417, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 537, "epoch_num": 1}}
:::MLLOG {"namespace": "", "time_ms": 1633468929505, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 404, "epoch_num": 2}}
:::MLLOG {"namespace": "", "time_ms": 1633470527851, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 472, "epoch_num": 2}}
:::MLLOG {"namespace": "", "time_ms": 1633470808715, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 482, "epoch_num": 2}}
:::MLLOG {"namespace": "", "time_ms": 1633470808717, "event_type": "POINT_IN_TIME", "key": "eval_error", "value": 0.057239957464237795, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 484, "epoch_num": 2}}
:::MLLOG {"namespace": "", "time_ms": 1633470809188, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 537, "epoch_num": 2}}
:::MLLOG {"namespace": "", "time_ms": 1633470809191, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 404, "epoch_num": 3}}
:::MLLOG {"namespace": "", "time_ms": 1633472461745, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 472, "epoch_num": 3}}
:::MLLOG {"namespace": "", "time_ms": 1633472788197, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 482, "epoch_num": 3}}
:::MLLOG {"namespace": "", "time_ms": 1633472788198, "event_type": "POINT_IN_TIME", "key": "eval_error", "value": 0.056515747934737647, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 484, "epoch_num": 3}}
:::MLLOG {"namespace": "", "time_ms": 1633472788666, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 537, "epoch_num": 3}}
:::MLLOG {"namespace": "", "time_ms": 1633472788667, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 404, "epoch_num": 4}}
:::MLLOG {"namespace": "", "time_ms": 1633474440410, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 472, "epoch_num": 4}}
:::MLLOG {"namespace": "", "time_ms": 1633474831115, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 482, "epoch_num": 4}}
:::MLLOG {"namespace": "", "time_ms": 1633474831117, "event_type": "POINT_IN_TIME", "key": "eval_error", "value": 0.05287458111142017, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 484, "epoch_num": 4}}
:::MLLOG {"namespace": "", "time_ms": 1633474831747, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 537, "epoch_num": 4}}
:::MLLOG {"namespace": "", "time_ms": 1633474831748, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/users/dealmeih/mlcomhpc/open_catalyst/ocpmodels/trainers/mlperf_forces_trainer.py", "lineno": 404, "epoch_num": 5}}
